"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"CEACAM6",0,0.65455777719084,0.776489871580732,1.0006918110051,0.79614406910225,0.689763555227156,0.369096204151724,0.642197912397666,0.442415790860033,0.253846181204872,0,0,0.565252568089719,0.347737015403991,0,0.441415069917504,0.66677392702768,0,0.597649401726884,0
"CEACAM7",0,0.483494279662529,0.975740736402024,0.380576516687264,0.749428315880093,0.166000558685414,0.302549616930133,0.774728117308666,0,0,0,0,0,0,0,0,0,0,0.44822780799748,0
"CEL",1.09938569010332,0.0634106782094692,0.0514420629816362,0.11826763460391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2A",1.09852824773424,0,0,0,0,0.0948691801875835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2B",1.03746394373086,0.0760418525112457,0.047835994350138,0,0.106036952748033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA3A",0.401077396437466,0.142325140000671,0.0972136741213939,0,0.123145188855117,0.109727643225468,0,0.133962295244848,0.324474148716367,0,0,0,0,0,0,0,0,0,0,0
"CELA3B",0.70123165319422,0.0791663441545378,0.0596553396674828,0,0,0,0,0,0,0.253806370778795,0,0,0,0,0,0.421939533175664,0,0,0,0
"CES1",0,1.0137457922657,0.964285936640958,0.277718154970158,1.05257360633238,0.0702563907323563,0.431650925509066,1.02677257159917,1.02141280504195,0,0,0,0,0.592430497104496,0,0,0.341496954054204,0.676926673892648,0,0
"CFC1",0,0,0,0,0,0,0,0,0,0,0,1.0409058518008,0,0,0,0,0,0,0,0
"CFC1B",0,0,0,0,0,0,0,0,0,0,0,0.867361246943716,0,0,0,0,0,0,0,0
"CFTR",0,0.554293368590086,0.955079517849724,0.425378701862822,0.755030286548377,0.245554571124355,0,0.441075337566536,0,0,0,0,0,0,0,0,0,0,0,0
"CHGA",0,0,0.0562410948155245,0,0,0.121095372661628,0,0,0,0,0,1.18406710320009,0,0,0,0,0,0,0,0
"CHGB",0.166741332803949,0,0,0,0,0,0,0,0.230090428514066,0,0,1.34520114083244,0,0,0,0,0,0,0,0
"CHST1",0,0,0.0811166073973371,0,0.0797679988039229,0,0,0,0.8637840990349,0,0,0,0,0,0,0,0,0,0,0
"CKMT1A",0.166741332803949,0.896477967389602,0.525330964355771,0.365687568164159,0.67729866782478,0.481034557953204,0,0.645922568367269,0.45365266115024,0,0,0,0,0.428406425363238,0,0,0,0,0,0
